PLZ,Ort,Kanton
1694,Chavannes-sous-Orsonnens,Freiburg
1694,Villargiroud,Freiburg
1694,Villarsiviriaux,Freiburg
1695,Villarlod,Freiburg
1695,Estavayer-le-Gibloux,Freiburg
1695,Rueyres-St-Laurent,Freiburg
1695,Villarsel-le-Gibloux,Freiburg
1696,Vuisternens-en-Ogoz,Freiburg
1697,La Joux FR,Freiburg
1697,Les Ecasseys,Freiburg
1699,Bouloz,Freiburg
1699,Pont (Veveyse),Freiburg
1699,Porsel,Freiburg
1700,Fribourg,Freiburg
1708,Fribourg,Freiburg
1712,Tafers,Freiburg
1713,St. Antoni,Freiburg
1714,Heitenried,Freiburg
1715,Alterswil FR,Freiburg
1716,Oberschrot,Freiburg
1716,Schwarzsee,Freiburg
1716,Plaffeien,Freiburg
1717,St. Ursen,Freiburg
1718,Rechthalten,Freiburg
1719,Zumholz,Freiburg
1719,Brünisried,Freiburg
1720,Chésopelloz,Freiburg
1720,Corminboeuf,Freiburg
1721,Cormérod,Freiburg
1721,Courtion,Freiburg
1721,Misery,Freiburg
1722,Bourguillon,Freiburg
1723,Marly,Freiburg
1723,Pierrafortscha,Freiburg
1723,Villarsel-sur-Marly,Freiburg
1724,Bonnefontaine,Freiburg
1724,Essert FR,Freiburg
1724,Ferpicloz,Freiburg
1724,Montévraz,Freiburg
1724,Oberried FR,Freiburg
1724,Senèdes,Freiburg
1724,Zénauva,Freiburg
1724,Le Mouret,Freiburg
1725,Posieux,Freiburg
1726,Farvagny-le-Petit,Freiburg
1726,Grenilles,Freiburg
1726,Posat,Freiburg
1726,Farvagny,Freiburg
1727,Magnedens,Freiburg
1727,Corpataux-Magnedens,Freiburg
1728,Rossens FR,Freiburg
1730,Ecuvillens,Freiburg
1731,Ependes FR,Freiburg
1732,Arconciel,Freiburg
1733,Treyvaux,Freiburg
1734,Tentlingen,Freiburg
1735,Giffers,Freiburg
1736,St. Silvester,Freiburg
1737,Plasselb,Freiburg
1738,Sangernboden,Bern
1740,Neyruz FR,Freiburg
1741,Cottens FR,Freiburg
1742,Autigny,Freiburg
1744,Chénens,Freiburg
1745,Lentigny,Freiburg
1746,Prez-vers-Noréaz,Freiburg
1747,Corserey,Freiburg
1748,Torny-le-Grand,Freiburg
1749,Middes,Freiburg
1752,Villars-sur-Glâne,Freiburg
1753,Matran,Freiburg
1754,Rosé,Freiburg
1754,Corjolens,Freiburg
1754,Avry-sur-Matran,Freiburg
1754,Avry-Centre FR,Freiburg
1756,Onnens FR,Freiburg
1756,Lovens,Freiburg
1757,Noréaz,Freiburg
1762,Givisiez,Freiburg
1763,Granges-Paccot,Freiburg
1772,Ponthaux,Freiburg
1772,Nierlet-les-Bois,Freiburg
1772,Grolley,Freiburg
1773,Léchelles,Freiburg
1773,Chandon,Freiburg
1773,Russy,Freiburg
1774,Montagny-les-Monts,Freiburg
1774,Cousset,Freiburg
1775,Mannens,Freiburg
1775,Grandsivaz,Freiburg
1776,Montagny-la-Ville,Freiburg
1782,Autafond,Freiburg
1782,La Corbaz,Freiburg
1782,Cormagens,Freiburg
1782,Lossy,Freiburg
1782,Formangueires,Freiburg
1782,Belfaux,Freiburg
1783,Pensier,Freiburg
1783,Barberêche,Freiburg
1784,Cournillens,Freiburg
1784,Wallenried,Freiburg
1784,Courtepin,Freiburg
1785,Cressier FR,Freiburg
1786,Sugiez,Freiburg
1787,Môtier (Vully),Freiburg
1787,Mur (Vully) FR,Freiburg
1787,Mur (Vully) VD,Waadt
1788,Praz (Vully),Freiburg
1789,Lugnorre,Freiburg
1791,Courtaman,Freiburg
1792,Guschelmuth,Freiburg
1792,Cordast,Freiburg
1793,Jeuss,Freiburg
1794,Salvenach,Freiburg
1795,Courlevon,Freiburg
1796,Courgevaux,Freiburg
1797,Münchenwiler,Bern
1800,Vevey,Waadt
1801,Le Mont-Pèlerin,Waadt
1802,Corseaux,Waadt
1803,Chardonne,Waadt
1804,Corsier-sur-Vevey,Waadt
1805,Jongny,Waadt
1806,St-Légier-La Chiésaz,Waadt
1807,Blonay,Waadt
1808,Les Monts-de-Corsier,Waadt
1809,Fenil-sur-Corsier,Waadt
1814,La Tour-de-Peilz,Waadt
1815,Clarens,Waadt
1816,Chailly-Montreux,Waadt
1817,Brent,Waadt
1820,Montreux,Waadt
1820,Veytaux,Waadt
1820,Territet,Waadt
1822,Chernex,Waadt
1823,Glion,Waadt
1824,Caux,Waadt
1832,Villard-sur-Chamby,Waadt
1832,Chamby,Waadt
1833,Les Avants,Waadt
1844,Villeneuve VD,Waadt
1845,Noville,Waadt
1846,Chessel,Waadt
1847,Rennaz,Waadt
1852,Roche VD,Waadt
1853,Yvorne,Waadt
1854,Leysin,Waadt
1856,Corbeyrier,Waadt
1860,Aigle,Waadt
1862,La Comballaz,Waadt
1862,Les Mosses,Waadt
1863,Le Sépey,Waadt
1864,Vers-l'Eglise,Waadt
1865,Les Diablerets,Waadt
1866,La Forclaz VD,Waadt
1867,St-Triphon,Waadt
1867,Panex,Waadt
1867,Ollon VD,Waadt
1868,Collombey,Wallis
1869,Massongex,Wallis
1870,Monthey,Wallis
1871,Choëx,Wallis
1871,Les Giettes,Wallis
1872,Troistorrents,Wallis
1873,Champoussin,Wallis
1873,Les Crosets,Wallis
1873,Val-d'Illiez,Wallis
1874,Champéry,Wallis
1875,Morgins,Wallis
1880,Fenalet-sur-Bex,Waadt
1880,Frenières-sur-Bex,Waadt
1880,Les Plans-sur-Bex,Waadt
1880,Bex,Waadt
1882,Les Posses-sur-Bex,Waadt
1882,Gryon,Waadt
1884,Huémoz,Waadt
1884,Arveyes,Waadt
1884,Villars-sur-Ollon,Waadt
1885,Chesières,Waadt
1890,Mex VS,Wallis
1890,St-Maurice,Wallis
1891,Vérossaz,Wallis
1892,Lavey-les-Bains,Waadt
1892,Morcles,Waadt
1892,Lavey-Village,Waadt
1893,Muraz (Collombey),Wallis
1895,Vionnaz,Wallis
1896,Miex,Wallis
1896,Vouvry,Wallis
1897,Les Evouettes,Wallis
1897,Bouveret,Wallis
1898,St-Gingolph,Wallis
1899,Torgon,Wallis
1902,Evionnaz,Wallis
1903,Collonges,Wallis
1904,Vernayaz,Wallis
1905,Dorénaz,Wallis
1906,Charrat,Wallis
1907,Saxon,Wallis
1908,Riddes,Wallis
1911,Mayens-de-Chamoson,Wallis
1911,Ovronnaz,Wallis
1912,Produit (Leytron),Wallis
1912,Montagnon (Leytron),Wallis
1912,Dugny (Leytron),Wallis
1912,Leytron,Wallis
1913,Saillon,Wallis
