Gemeinde,Kanton,Einwohner,Fläche
Corcelles-le-Jorat,VD,451,7.94
Corcelles-près-Concise,VD,418,4.06
Corcelles-près-Payerne,VD,2683,12.14
Corgémont,BE,1774,17.65
Corminboeuf,FR,2794,7.24
Cormoret,BE,494,13.52
Cornaux,NE,1587,4.71
Cornol,JU,1028,10.47
Corseaux,VD,2315,1.07
Corsier (GE),GE,2295,2.80
Corsier-sur-Vevey,VD,3419,6.73
Cortaillod,NE,4697,3.65
Cortébert,BE,696,14.82
Cossonay,VD,4223,8.23
Cottens (FR),FR,1482,4.98
Courchapoix,JU,446,6.43
Courchavon,JU,314,6.24
Courgenay,JU,2400,18.44
Courgevaux,FR,1438,3.38
Courrendlin,JU,3631,21.53
Courroux,JU,3313,19.75
Court,BE,1417,24.56
Courtedoux,JU,755,8.14
Courtelary,BE,1405,22.11
Courtepin,FR,5503,17.80
Courtételle,JU,2644,13.57
Crans,VD,2336,4.30
Crans-Montana,VS,10218,59.59
Crassier,VD,1172,2.02
Crémines,BE,488,9.46
Cressier (FR),FR,1015,4.18
Cressier (NE),NE,1892,8.61
Crésuz,FR,415,1.80
Crissier,VD,8727,5.50
Cronay,VD,396,6.58
Croy,VD,397,4.50
Cuarnens,VD,528,7.06
Cuarny,VD,232,4.62
Cudrefin,VD,1780,15.58
Cugnasco-Gerra,TI,2780,18.20
Cugy (FR),FR,1847,9.90
Cugy (VD),VD,2762,2.90
Cureglia,TI,1434,1.10
Curio,TI,578,2.77
Curtilles,VD,300,4.97
Dachsen,ZH,1917,2.65
Dägerlen,ZH,1037,7.96
Dagmersellen,LU,5680,23.90
Daillens,VD,1051,5.49
Dallenwil,NW,1848,15.52
Dällikon,ZH,4278,4.49
Dalpe,TI,174,14.52
Damphreux,JU,181,5.66
Däniken,SO,2891,5.46
Dänikon,ZH,1846,2.81
Dardagny,GE,1855,8.60
Därligen,BE,415,6.92
Därstetten,BE,862,32.85
Dättlikon,ZH,797,2.91
Davos,GR,10832,283.99
Degersheim,SG,4099,14.45
Deisswil bei Münchenbuchsee,BE,86,2.14
Deitingen,SO,2227,7.55
Delémont,JU,12618,22.01
Delley-Portalban,FR,1222,6.85
Démoret,VD,158,4.29
Denens,VD,742,3.29
Denges,VD,1725,1.69
Densbüren,AG,728,12.64
Derendingen,SO,6592,5.68
Develier,JU,1371,12.42
Diegten,BL,1615,9.61
Dielsdorf,ZH,5968,5.88
Diemerswil,BE,199,2.82
Diemtigen,BE,2253,130.00
Diepflingen,BL,756,1.43
Diepoldsau,SG,6479,11.19
Dierikon,LU,1579,2.77
Diessbach bei Büren,BE,991,6.31
Diessenhofen,TG,4085,10.00
Dietikon,ZH,28057,9.28
Dietlikon,ZH,7875,4.24
Dietwil,AG,1355,5.55
Dinhard,ZH,1741,7.07
Dintikon,AG,2317,3.72
Disentis/Mustér,GR,2009,91.05
Dittingen,BL,742,6.73
Dizy,VD,223,3.07
Domat/Ems,GR,8161,24.24
Domleschg,GR,2160,45.96
